cleaning,method,label,best_layer,target,spearman,spearman_std,mae_years
tier0,thalesian_cunei400m,Thalesian (uMT5-base + cuneiform finetune),L12,year-log,0.4143,0.0639,0.06
tier0,thalesian_akk300m,"Thalesian AKK-300m (uMT5 + finetune, variant)",L06,year-log,0.3457,0.0617,0.07
tier0,umt5_base,vanilla google/umt5-base (NO finetune),L01,year-log,0.3361,0.0695,0.08
tier0,qwen3_8b,Qwen3-8B base (decoder-only),L03,year-log,0.3662,0.07,0.07
tier0,gpt_oss_120b,gpt-oss-120b base (decoder-only),L27,year-log,0.4077,0.0678,0.07
tier0,random,"random (same tokenizer as Qwen, untrained)",L06,year-log,0.3785,0.0818,0.07
maximal,thalesian_cunei400m,Thalesian (uMT5-base + cuneiform finetune),L10,year-log,0.4128,0.068,0.07
maximal,thalesian_akk300m,"Thalesian AKK-300m (uMT5 + finetune, variant)",L08,year-raw,0.3224,0.0671,48.36
maximal,umt5_base,vanilla google/umt5-base (NO finetune),L00,year-log,0.2974,0.0741,0.08
maximal,qwen3_8b,Qwen3-8B base (decoder-only),L16,year-log,0.3655,0.0836,0.08
maximal,gpt_oss_120b,gpt-oss-120b base (decoder-only),L05,year-log,0.3332,0.072,0.08
maximal,random,"random (same tokenizer as Qwen, untrained)",L28,year-raw,0.3011,0.0876,47.96
